,x,y,y_obs
0,2370,493.61539762987286,469.4722606078916
1,1750,496.70706550795694,472.6774115905562
2,2860,468.1955734453604,501.2181186904399
3,1100,449.6376528846474,423.67815078298526
4,1320,472.9788105979226,488.54625730255316
5,1910,499.5875242068346,532.5523801573447
6,2040,499.92063304886915,532.7528824986495
7,3340,428.0198811620389,454.71357107153983
8,880,416.2899376327148,404.67791425014747
9,3270,434.7099713756579,480.1112830367726
10,1260,467.47769386456184,406.1504859212646
11,1560,489.3478988723973,462.583104868749
12,1760,496.97187080251524,501.5405968086326
13,1020,438.8013265031318,465.4084023576221
14,2980,459.4501821479016,439.74018231754826
15,600,354.1947274045441,354.9754278780177
16,1180,459.1610207230033,459.4302493212874
17,2580,484.8680153133864,493.3181016087321
18,3360,426.0594929867625,390.7127346525703
19,2840,469.56324047570615,499.1135232864161
20,1950,499.8737325325965,459.3330247713379
21,660,369.79590513918697,373.0802827739387
22,1410,480.1283766878237,503.346574951163
23,2750,475.38949554955934,460.4586219314947
24,2140,499.04642868381234,498.7863991889569
25,980,432.85265703277014,408.9894699355807
26,2500,488.6015618438655,531.5636225962902
27,690,377.0758343782518,379.60806205647117
28,2420,491.84534553490766,468.22942743805174
29,1980,499.97991955716407,497.3259114402469
30,3490,412.8005157394805,438.51761972974276
31,2410,492.2154262596191,540.8631644337547
32,1770,497.22501810171843,501.5499539072573
33,3290,432.82593281210575,397.1574617652724
34,2080,499.6850101651712,538.3903367566536
35,2290,496.021079294253,481.8317355664127
36,3380,424.077641721889,441.0332475218449
37,3110,448.9699687546181,449.6070357446607
38,2060,499.82212503023084,533.4144072118517
39,2230,497.46949875278824,520.3977352498733
40,2130,499.17621582797346,518.6398504001129
41,2540,486.79484358521904,516.2827299728935
42,2350,494.26660339584714,468.5351863526074
43,3120,448.12193550618804,457.8692493658887
44,3430,419.0301072531279,394.257469081013
45,2750,475.38949554955934,511.3502657723566
46,2320,495.1815012226193,441.4824600671511
47,2660,480.66287918620947,491.9011431260219
48,1490,485.4453831637734,491.6365037571161
49,1420,480.8449250465501,476.1512379067005
